Currency,USD,INR,EUR,GBP,JPY,AUD,LKR,CHF,RUB ,AED,AFN,BRL,DKK,EGP,MYR,CUP,COP,HKD,HUF,NOK,UAH,KWD,OMR,SAR,MAD,ZAR,SGD,CNY,PHP,THB,VND
USD,1,83.17,0.92,0.79,148.41,1.53,320.99,0.87,87.96,3.67,72.50,4.93,6.87,30.96,4.72,24.00,3958.28,7.82,350.92,10.53,37.87,0.31,0.38,3.75,9.99,19.11,1.35,7.13,56.04,35.67,24540.00
INR,0.012,1,0.11,0.0095,1.78,0.018,3.86,0.010,1.06,0.044,0.87,0.059,0.083,0.37,0.057,0.29,47.58,0.094,4.22,0.13,0.46,0.0037,0.0046,0.045,0.12,0.23,0.016,0.086,0.67,0.43,295.05
EUR,1.09,90.35,1,0.86,161.13,1.66,348.68,0.94,95.55,3.99,78.75,5.35,7.46,33.56,5.12,26.07,4293.40,8.50,380.60,11.44,41.13,0.33,0.42,4.07,10.85,0.23,1.46,7.75,60.89,38.72,26660.13
GBP,1.27,105.39,1.17,1,187.96,1.94,406.76,1.10,111.46,4.65,91.87,6.25,8.70,39.14,5.98,30.14,5008.16,9.91,443.71,13.34,47.98,0.39,0.49,4.75,12.65,24.21,1.70,9.03,71.00,45.13,31086.90
JPY,0.0067,0.56,0.0062,0.0053,1,0.010,2.16,0.0058,0.59,0.025,0.49,0.033,0.046,0.21,0.032,0.16,26.65,0.053,2.36,0.071,0.26,0.0021,0.0026,0.025,0.067,0.13,0.0091,0.048,0.38,0.24,165.43
AUD,0.65,54.34,0.60,0.52,96.90,1,209.74,0.57,57.47,2.40,47.37,3.23,4.49,20.19,3.08,15.68,2586.82,5.11,228.88,6.88,24.74,0.20,0.25,2.45,6.53,12.48,0.88,4.66,36.33,23.35,16108.90
LKR,0.0031,0.26,0.0029,0.0025,0.46,0.0048,1,0.0027,0.27,0.011,0.23,0.015,0.021,0.096,0.015,0.075,12.33,0.024,1.09,0.033,0.12,0.00096,0.0012,0.012,0.031,0.060,0.0042,0.022,0.17,0.11,76.47
CHF,1.15,95.90,1.06,0.91,170.61,1.76,370.46,1,102.25,4.24,84.21,5.68,7.91,35.65,5.44,27.69,4562.70,9.02,405.41,12.14,43.45,0.35,0.44,4.33,11.49,21.85,1.55,8.22,64.40,41.07,28325.27
RUB ,0.011,0.93,0.010,0.0089,1.66,0.017,3.61,0.0098,1,0.041,0.82,0.055,0.077,0.35,0.053,0.27,44.42,0.088,3.95,0.12,0.42,0.0035,0.0043,0.042,0.11,0.21,0.015,0.080,0.63,0.40,275.81
AED,0.27,22.65,0.25,0.21,40.33,0.42,87.46,0.24,24.13,1,19.87,1.34,1.87,8.41,1.28,6.53,1077.56,2.13,95.71,2.87,10.26,0.084,0.10,1.02,2.71,5.15,0.37,1.92,15.20,9.70,6686.69
AFN,0.014,1.14,0.013,0.011,2.03,0.021,4.40,0.012,1.21,0.050,1,0.068,0.094,0.42,0.065,0.33,54.20,0.11,4.82,0.14,0.52,0.0042,0.0053,0.051,0.14,0.26,0.018,0.098,0.77,0.49,336.45
BRL,0.20,16.86,0.19,0.16,30.03,0.31,65.10,0.18,17.96,0.74,14.79,1,1.39,6.26,0.96,4.86,802.02,1.59,71.39,2.14,7.63,0.062,0.078,0.76,2.02,3.85,0.27,1.43,11.32,7.22,4976.09
DKK,0.15,12.12,0.13,0.12,21.58,0.22,46.79,0.13,12.98,0.54,10.63,0.72,1,4.50,0.69,3.50,575.87,1.14,51.27,1.54,5.49,0.045,0.056,0.55,1.45,2.77,0.20,1.04,8.13,5.19,3576.10
EGP,0.032,2.69,0.030,0.026,4.80,0.049,10.40,0.028,2.87,0.12,2.36,0.16,0.22,1,0.15,0.78,128.05,0.25,11.41,0.34,1.22,0.0100,0.012,0.12,0.32,0.61,0.044,0.23,1.81,1.15,794.89
MYR,0.21,17.56,0.20,0.17,31.26,0.32,68.08,0.18,18.79,0.78,15.47,1.04,1.45,6.55,1,5.09,837.33,1.65,74.57,2.23,7.98,0.065,0.082,0.79,2.11,4.01,0.28,1.50,11.84,7.55,5205.60
CUP,0.042,3.47,0.038,0.033,6.17,0.064,13.38,0.036,3.69,0.15,3.04,0.21,0.29,1.29,0.20,1,152.811,0.33,14.65,0.44,1.57,0.013,0.016,0.16,0.42,0.79,0.056,0.30,2.328,1.48,1023.30
COP,0.00025,0.021,0.00023,0.00020,0.037,0.00039,0.081,0.00022,0.022,0.00092,0.018,0.0012,0.0017,0.0078,0.0012,0.0060,1,0.0020,0.088,0.0027,0.0095,0.000077,0.000097,0.00095,0.0025,0.0048,0.00034,0.0018,0.014,0.0090,6.18
HKD,0.13,10.63,0.12,0.10,18.93,0.20,41.07,0.11,11.33,0.47,9.33,0.63,0.88,3.95,0.60,3.07,504.65,1,45.03,1.35,4.82,0.039,0.049,0.48,1.27,2.43,0.17,0.91,7.15,4.56,3140.15
HUF,0.0028,0.24,0.0026,0.0022,0.42,0.0043,0.91,0.0025,0.25,0.010,0.21,0.014,0.019,0.088,0.013,0.068,11.22,0.022,1,0.030,0.11,0.00087,0.0011,0.011,0.028,0.054,0.0038,0.020,0.16,0.10,69.74
NOK,0.095,7.89,0.087,0.075,14.03,0.14,30.46,0.082,8.41,0.35,6.92,0.47,0.65,2.93,0.45,2.28,374.62,0.74,33.39,1,3.57,0.029,0.037,0.36,0.95,1.80,0.13,0.68,5.30,3.38,2329.95
UAH,0.027,2.21,0.024,0.021,3.93,0.040,8.53,0.023,2.35,0.098,1.93,0.13,0.18,0.82,0.13,0.64,104.85,0.21,9.34,0.28,1,0.0082,0.010,0.100,0.26,0.50,0.036,0.19,1.48,0.95,652.04
KWD,3.25,270.16,2.99,2.56,480.81,4.95,1043.40,2.82,287.91,11.93,237.12,16.06,22.30,100.44,15.33,77.96,12824.87,25.40,1142.54,34.21,122.36,1,1.25,12.18,32.37,61.61,4.37,23.15,181.51,115.78,79776.63
OMR,2.60,216.04,2.39,2.05,384.83,3.96,834.45,2.26,230.25,9.54,189.63,12.86,17.84,80.34,12.26,62.35,10258.73,20.32,913.42,27.36,97.85,0.80,1,9.74,25.89,49.24,3.49,18.51,145.18,92.55,63800.72
SAR,0.27,22.17,0.25,0.21,39.47,0.41,85.64,0.23,23.63,0.98,19.46,1.32,1.83,8.25,1.26,6.40,1052.64,2.09,93.74,2.81,10.04,0.082,0.10,1,2.66,5.06,0.36,1.90,14.90,9.51,6548.47
MAD,0.10,8.35,0.093,0.079,14.87,0.15,32.26,0.087,8.90,0.37,7.33,0.50,0.69,3.11,0.47,2.41,396.50,0.79,35.32,1.06,3.78,0.031,0.039,0.38,1,1.90,0.14,0.72,5.61,3.57,2458.34
ZAR,0.053,4.39,0.049,0.042,7.82,0.081,16.98,0.046,4.68,0.19,3.81,0.26,0.36,1.63,0.25,1.27,208.39,0.42,18.57,0.56,1.99,0.016,0.020,0.20,0.53,1,0.071,0.38,2.95,1.88,1296.31
SGD,0.74,61.84,0.68,0.59,110.10,1.13,238.88,0.65,65.92,2.73,53.55,3.67,5.10,22.98,3.51,17.85,2917.62,5.82,261.28,7.83,28.01,0.23,0.29,2.79,7.43,14.08,1,5.30,41.55,26.51,18245.96
CNY,14,11.80,0.13,0.11,20.79,0.22,45.07,0.12,12.52,0.52,10.10,0.69,0.96,4.34,0.66,3.37,553.26,1.11,49.36,1.48,5.29,0.043,0.054,0.53,1.40,2.66,0.19,1,7.84,5.05,3446.53
PHP,0.018,1.49,0.016,0.014,2.65,0.027,5.75,0.016,1.59,0.066,1.29,0.088,0.12,0.55,0.084,0.43,70.53,0.14,6.30,0.19,0.67,0.0055,0.0069,0.067,0.18,0.34,0.024,0.13,1,0.64,439.41
THB,0.028,2.33,0.026,0.022,4.16,0.043,9.01,0.024,2.49,0.10,2.02,0.14,0.19,0.87,0.13,0.67,110.59,0.22,9.87,0.30,1.06,0.0086,0.011,0.11,0.28,0.53,0.038,0.20,1.57,1,689.25
VND,0.000041,0.0034,0.000037,0.000032,0.0060,0.000062,0.013,0.000035,0.0036,0.00015,0.0029,0.00020,0.00028,0.0013,0.00019,0.00098,0.16,0.00032,0.014,0.00043,0.0015,0.000013,0.000016,0.00015,0.00041,0.00077,0.000055,0.00029,0.0023,0.0015,1
